	loss
0	4.612247467041016
1	4.534532070159912
2	4.463016033172607
3	4.4266204833984375
4	4.41605806350708
5	4.408520698547363
6	4.408107280731201
7	4.395576000213623
8	4.392022609710693
9	4.38675594329834
10	4.3855085372924805
11	4.364335060119629
12	4.349922180175781
13	4.3395819664001465
14	4.312150478363037
15	4.279999732971191
16	4.243480205535889
17	4.205928802490234
18	4.159488677978516
19	4.121765613555908
20	4.069509029388428
21	4.023038387298584
22	3.9590065479278564
23	3.8820223808288574
24	3.802568197250366
25	3.710120439529419
26	3.616671085357666
27	3.51857590675354
28	3.4183998107910156
29	3.318145513534546
30	3.217895746231079
31	3.1072778701782227
32	3.0052340030670166
33	2.870461940765381
34	2.7947678565979004
35	2.7402191162109375
36	2.6753792762756348
37	2.620577335357666
38	2.555299997329712
39	2.4842782020568848
40	2.4329817295074463
41	2.388791799545288
42	2.3275954723358154
43	2.280959129333496
44	2.222872495651245
45	2.1795403957366943
46	2.1415419578552246
47	2.075460195541382
48	2.0275087356567383
49	2.0022130012512207
50	1.9274336099624634
51	1.8769983053207397
52	1.8570631742477417
53	1.8361823558807373
54	1.8252832889556885
55	1.7792115211486816
56	1.751334547996521
57	1.6902397871017456
58	1.65998113155365
59	1.6617616415023804
60	1.6408288478851318
61	1.5878666639328003
62	1.5842100381851196
63	1.543893575668335
64	1.5099303722381592
65	1.5039268732070923
66	1.4973208904266357
67	1.4516668319702148
68	1.4525707960128784
69	1.4210556745529175
70	1.374000072479248
71	1.3426854610443115
72	1.2914992570877075
73	1.2571070194244385
74	1.2314473390579224
75	1.2215372323989868
76	1.2128223180770874
77	1.2149004936218262
78	1.2261295318603516
79	1.1935995817184448
80	1.1018041372299194
81	1.0846854448318481
82	1.0793061256408691
83	1.0721246004104614
84	1.0712217092514038
85	1.0905234813690186
86	1.0506649017333984
87	1.0279834270477295
88	1.0517033338546753
89	1.0390839576721191
90	1.0590764284133911
91	0.9923978447914124
92	0.9199678301811218
93	0.9370028376579285
94	0.9377898573875427
95	0.9739955067634583
96	0.9695174098014832
97	1.00434410572052
98	1.0009334087371826
99	0.9900981187820435
100	0.946544349193573
101	0.898185133934021
102	0.8703429102897644
103	0.9010988473892212
104	0.8972686529159546
105	0.8221116662025452
106	0.7396105527877808
107	0.7922138571739197
108	0.8094136714935303
109	0.8438335061073303
110	0.7939792275428772
111	0.7154104709625244
112	0.6391228437423706
113	0.6915080547332764
114	0.7352977991104126
115	0.6957604289054871
116	0.6411629915237427
117	0.6525700688362122
118	0.5909521579742432
119	0.6115699410438538
120	0.6880183815956116
121	0.7259106636047363
122	0.7292539477348328
123	0.6995426416397095
124	0.6447186470031738
125	0.6789600849151611
126	0.6819617748260498
127	0.6801198720932007
128	0.6553665995597839
129	0.6161785125732422
130	0.572821855545044
131	0.5393909811973572
132	0.5191885828971863
133	0.5951113700866699
134	0.6061912775039673
135	0.5926660299301147
136	0.6081721186637878
137	0.6718705892562866
138	0.5921627879142761
139	0.5336238741874695
140	0.5101087689399719
141	0.44936496019363403
142	0.40576231479644775
143	0.4459347724914551
144	0.4919571578502655
145	0.4868370592594147
146	0.48980557918548584
147	0.5038160681724548
148	0.5207949876785278
149	0.538814902305603
150	0.5231589674949646
151	0.4561275839805603
152	0.40259236097335815
153	0.4023086428642273
154	0.4128139317035675
155	0.47383594512939453
156	0.5212656259536743
157	0.5431694984436035
158	0.5177233219146729
159	0.560029923915863
160	0.5763296484947205
161	0.505407989025116
162	0.4633103311061859
163	0.43636181950569153
164	0.35241395235061646
165	0.2915039360523224
166	0.30300164222717285
167	0.365479439496994
168	0.40009981393814087
169	0.4166624844074249
170	0.3909221291542053
171	0.40334632992744446
172	0.3718642294406891
173	0.36972305178642273
174	0.34401625394821167
175	0.36652132868766785
176	0.3827005922794342
177	0.43772220611572266
178	0.3644307553768158
179	0.2459055483341217
180	0.2604697048664093
181	0.3080196678638458
182	0.33613264560699463
183	0.3307672142982483
184	0.38050663471221924
185	0.41188204288482666
186	0.4355020821094513
187	0.4201134145259857
188	0.42036542296409607
189	0.37174659967422485
190	0.3875465393066406
191	0.4091168940067291
192	0.34797990322113037
193	0.2910166382789612
194	0.294927716255188
195	0.33716967701911926
196	0.3948638439178467
197	0.39296767115592957
198	0.3606908321380615
199	0.38955157995224
