	loss
0	4.573975563049316
1	4.453990936279297
2	4.427039623260498
3	4.410180568695068
4	4.397287845611572
5	4.379310607910156
6	4.368290424346924
7	4.346381187438965
8	4.318510055541992
9	4.2976274490356445
10	4.273550033569336
11	4.242697238922119
12	4.20814323425293
13	4.17869758605957
14	4.143031597137451
15	4.1079301834106445
16	4.066349029541016
17	4.016416072845459
18	3.975456714630127
19	3.928577184677124
20	3.874936819076538
21	3.8206567764282227
22	3.773026466369629
23	3.720717668533325
24	3.665297746658325
25	3.6110661029815674
26	3.5563607215881348
27	3.50075101852417
28	3.4532580375671387
29	3.4043893814086914
30	3.348813533782959
31	3.296359062194824
32	3.243973970413208
33	3.1961143016815186
34	3.1457650661468506
35	3.0984108448028564
36	3.0458145141601562
37	2.988375186920166
38	2.9476888179779053
39	2.9052317142486572
40	2.8635857105255127
41	2.8110759258270264
42	2.767364740371704
43	2.7272090911865234
44	2.681659460067749
45	2.6419873237609863
46	2.6003499031066895
47	2.5583512783050537
48	2.518216371536255
49	2.487736463546753
50	2.4455673694610596
51	2.404581069946289
52	2.3698718547821045
53	2.328284978866577
54	2.290477991104126
55	2.258481740951538
56	2.220151901245117
57	2.193079710006714
58	2.1567206382751465
59	2.1202309131622314
60	2.0946362018585205
61	2.0574076175689697
62	2.0264675617218018
63	1.9988104104995728
64	1.9654557704925537
65	1.9338147640228271
66	1.905538558959961
67	1.8757442235946655
68	1.8502073287963867
69	1.8222198486328125
70	1.793670892715454
71	1.7682889699935913
72	1.7431609630584717
73	1.7214553356170654
74	1.6963969469070435
75	1.6755377054214478
76	1.644666075706482
77	1.6174203157424927
78	1.6033753156661987
79	1.5801889896392822
80	1.5613514184951782
81	1.5325028896331787
82	1.5148789882659912
83	1.4867146015167236
84	1.463647723197937
85	1.4398025274276733
86	1.4211888313293457
87	1.410566806793213
88	1.3814632892608643
89	1.367857813835144
90	1.3520090579986572
91	1.327940583229065
92	1.3007053136825562
93	1.3027124404907227
94	1.268980622291565
95	1.264153242111206
96	1.2350473403930664
97	1.2224833965301514
98	1.2046393156051636
99	1.191505789756775
100	1.1687238216400146
101	1.1588178873062134
102	1.1351486444473267
103	1.129468560218811
104	1.1113041639328003
105	1.091158151626587
106	1.077691674232483
107	1.0594863891601562
108	1.058211088180542
109	1.034432291984558
110	1.0225087404251099
111	1.0012129545211792
112	0.9909021258354187
113	0.9699447154998779
114	0.9682754278182983
115	0.9582164287567139
116	0.9307243824005127
117	0.9245923161506653
118	0.9134294986724854
119	0.9003385305404663
120	0.8900206685066223
121	0.8697194457054138
122	0.8559393882751465
123	0.8455636501312256
124	0.8379085063934326
125	0.8228393197059631
126	0.8170205950737
127	0.7981529235839844
128	0.788103461265564
129	0.7792310118675232
130	0.761940062046051
131	0.7578085064888
132	0.7421696186065674
133	0.7337707281112671
134	0.714893639087677
135	0.7193945050239563
136	0.6994595527648926
137	0.679948091506958
138	0.6754087209701538
139	0.6677625775337219
140	0.6578842401504517
141	0.6513587236404419
142	0.6392858028411865
143	0.6374521851539612
144	0.6289688348770142
145	0.6070928573608398
146	0.601556658744812
147	0.6045469045639038
148	0.5853543281555176
149	0.5738160014152527
150	0.5662810802459717
151	0.552394688129425
152	0.5480437278747559
153	0.5406028032302856
154	0.5348806977272034
155	0.526438295841217
156	0.5189749598503113
157	0.5182511210441589
158	0.5048872828483582
159	0.4921208918094635
160	0.4886150062084198
161	0.49255406856536865
162	0.4655633270740509
163	0.4657525420188904
164	0.4671161472797394
165	0.4622621238231659
166	0.45636892318725586
167	0.44735053181648254
168	0.4423971176147461
169	0.4382610321044922
170	0.4263222813606262
171	0.42221546173095703
172	0.41259992122650146
173	0.4078611731529236
174	0.40515977144241333
175	0.3975982964038849
176	0.3903254270553589
177	0.38844016194343567
178	0.38836395740509033
179	0.3818240761756897
180	0.37623468041419983
181	0.3658433258533478
182	0.3664819598197937
183	0.3503507971763611
184	0.34861308336257935
185	0.3445412516593933
186	0.3577222526073456
187	0.3409478962421417
188	0.3405970335006714
189	0.3201599419116974
190	0.3260175585746765
191	0.3119099736213684
192	0.31725040078163147
193	0.309796541929245
194	0.31366485357284546
195	0.31174489855766296
196	0.30096518993377686
197	0.3057385981082916
198	0.30683961510658264
199	0.28634047508239746
